date,state,state_abb,cat_tax,cat_str,rev,year,quarter
Q1-2010,Alabama,AL,T01,T01 Property Taxes,169,2010,1
Q1-2010,Alabama,AL,T09,T09 General Sales and Gross Receipts Taxes,506,2010,1
Q1-2010,Alabama,AL,T10,T10 Alcoholic Beverages Sales Tax,40,2010,1
Q1-2010,Alabama,AL,T11,T11 Amusements Sales Tax,0,2010,1
Q1-2010,Alabama,AL,T12,T12 Insurance Premiums Sales Tax,40,2010,1
Q1-2010,Alabama,AL,T13,T13 Motor Fuels Sales Tax,154,2010,1
Q1-2010,Alabama,AL,T14,T14 Pari-Mutuels Sales Tax,0,2010,1
Q1-2010,Alabama,AL,T15,T15 Public Utilities Sales Tax,200,2010,1
Q1-2010,Alabama,AL,T16,T16 Tobacco Products Sales Tax,36,2010,1
Q1-2010,Alabama,AL,T19,T19 Other Selective Sales and Gross Receipts Taxes,45,2010,1
Q1-2010,Alabama,AL,T20,T20 Alcoholic Beverages License,0,2010,1
Q1-2010,Alabama,AL,T21,T21 Amusements License,0,2010,1
Q1-2010,Alabama,AL,T22,T22 Corporations In General License,66,2010,1
Q1-2010,Alabama,AL,T23,T23 Hunting and Fishing License,3,2010,1
Q1-2010,Alabama,AL,T24,T24 Motor Vehicles License,43,2010,1
Q1-2010,Alabama,AL,T25,T25 Motor Vehicle Operators License,5,2010,1
Q1-2010,Alabama,AL,T27,T27 Public Utilities License,3,2010,1
Q1-2010,Alabama,AL,T28,"T28 Occupation and Business License, Not Elsewhere Classified",30,2010,1
Q1-2010,Alabama,AL,T29,T29 Other License Taxes,0,2010,1
Q1-2010,Alabama,AL,T40,T40 Individual Income Taxes,640,2010,1
Q1-2010,Alabama,AL,T41,T41 Corporation Net Income Taxes,82,2010,1
Q1-2010,Alabama,AL,T50,T50 Death and Gift Taxes,0,2010,1
Q1-2010,Alabama,AL,T51,T51 Documentary and Stock Transfer Taxes,7,2010,1
Q1-2010,Alabama,AL,T53,T53 Severance Taxes,23,2010,1
Q1-2010,Alabama,AL,T99,"T99 Taxes, Not Elsewhere Classified",0,2010,1
Q1-2010,Alabama,AL,TOTAL,Total Taxes,2092,2010,1
Q2-2010,Alabama,AL,T01,T01 Property Taxes,18,2010,2
Q2-2010,Alabama,AL,T09,T09 General Sales and Gross Receipts Taxes,543,2010,2
Q2-2010,Alabama,AL,T10,T10 Alcoholic Beverages Sales Tax,41,2010,2
Q2-2010,Alabama,AL,T11,T11 Amusements Sales Tax,0,2010,2
Q2-2010,Alabama,AL,T12,T12 Insurance Premiums Sales Tax,51,2010,2
Q2-2010,Alabama,AL,T13,T13 Motor Fuels Sales Tax,134,2010,2
Q2-2010,Alabama,AL,T14,T14 Pari-Mutuels Sales Tax,1,2010,2
Q2-2010,Alabama,AL,T15,T15 Public Utilities Sales Tax,186,2010,2
Q2-2010,Alabama,AL,T16,T16 Tobacco Products Sales Tax,31,2010,2
Q2-2010,Alabama,AL,T19,T19 Other Selective Sales and Gross Receipts Taxes,50,2010,2
Q2-2010,Alabama,AL,T20,T20 Alcoholic Beverages License,0,2010,2
Q2-2010,Alabama,AL,T21,T21 Amusements License,0,2010,2
Q2-2010,Alabama,AL,T22,T22 Corporations In General License,23,2010,2
Q2-2010,Alabama,AL,T23,T23 Hunting and Fishing License,3,2010,2
Q2-2010,Alabama,AL,T24,T24 Motor Vehicles License,51,2010,2
Q2-2010,Alabama,AL,T25,T25 Motor Vehicle Operators License,5,2010,2
Q2-2010,Alabama,AL,T27,T27 Public Utilities License,3,2010,2
Q2-2010,Alabama,AL,T28,"T28 Occupation and Business License, Not Elsewhere Classified",30,2010,2
Q2-2010,Alabama,AL,T29,T29 Other License Taxes,0,2010,2
Q2-2010,Alabama,AL,T40,T40 Individual Income Taxes,609,2010,2
Q2-2010,Alabama,AL,T41,T41 Corporation Net Income Taxes,129,2010,2
Q2-2010,Alabama,AL,T50,T50 Death and Gift Taxes,0,2010,2
Q2-2010,Alabama,AL,T51,T51 Documentary and Stock Transfer Taxes,8,2010,2
Q2-2010,Alabama,AL,T53,T53 Severance Taxes,22,2010,2
